store_key	storename	address	telno	region_name	province_name	city_muni_name	latitude	longitude	Wheelchair-YES	Audio-YES
1229	Bacoor 4	Magdiwang Highway Green Valley Bacoor Cavite		REGION IV-A (CALABARZON)	CAVITE	BACOOR	14.4052	120.991		
1242	Angono 4	P Tolentino San Isidro Angono Rizal	933	REGION IV-A (CALABARZON)	RIZAL	ANGONO	14.5257	121.153		
1253	Aliaga NE	Poblacion Road Aliaga Nueva Ecija			NUEVA ECIJA	ALIAGA	15.5	120.847		
1256	Caltex Bacao	Centennial Highway Brgy Bacao Gen Trias Cavite		REGION IV-A (CALABARZON)	CAVITE	GENERAL TRIAS	14.4089	120.879		
1259	Meralco Village	Brgy Lias Marilao Bulacan	923	REGION III (Central Luzon)	BULACAN	MARILAO	14.7603	120.962		
1261	Sipocot	San Juan Ave North Centro Sipocot Camarines Sur		REGION V (Bicol Region)	CAMARINES SUR	SIPOCOT	13.8287	122.957		
1211	Balaoan	National Highway Balaoan Poblacion La Union	925	REGION I (Ilocos Region)	LA UNION	BALAOAN	16.8224	120.403		
1185	Uptown Center	Madison St Uptown Bldg Mandaluyong City	5422598	NCR - National Capital Region	"NCR, SECOND DISTRICT"	CITY OF MANDALUYONG	14.5717	121.05		
1233	South of Market	south of market condominium global City taguig		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	TAGUIG CITY	14.5473	121.052		
1236	Pagbilao Poblacion	Brgy Poblacion Pagbilao Quezon Province		REGION IV-A (CALABARZON)	QUEZON	PAGBILAO	13.9718	121.687		
1251	Alabang NB Exit	East Service Road Alabang Muntinlupa City		NCR - National Capital Region	"NCR, FOURTH DISTRICT"	CITY OF MUNTINLUPA	14.4201	121.046		
