store_key	storename	address	telno	region_name	province_name	city_muni_name	latitude	longitude
556	Batanggas 4	Manuela Pastor Ave.H/W Pallocan West,Batangas City		REGION IV-A (CALABARZON)	BATANGAS	BATANGAS CITY (Capital)	13.7539	121.07
557	La Salle Med Dasma	Bo. Pasang Tala Dasma Cavite		REGION IV-A (CALABARZON)	CAVITE	DASMARI?AS	14.327	120.945
558	Welding Bldg.	Welding Bldg.		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5622	121.025
559	Clark Hostel	Clark Freeport Zone, Pampanga	4991398	REGION III (Central Luzon)	PAMPANGA	ANGELES CITY	15.1811	120.528
560	San Fernando-NLEX	Brgy.San Felipe, San Fernando	9637803	REGION III (Central Luzon)	PAMPANGA	CITY OF SAN FERNANDO (Capital)	15.1294	120.643
561	Tarlac 2	Mc Arthur Hi-Way, Tarlac,Tarlac City	459823085	REGION III (Central Luzon)	TARLAC	CITY OF TARLAC (Capital)	15.4895	120.596
562	Daang Sarile, Cabanatuan	Daang Sarile, Cabanatuan City	6002608		NUEVA ECIJA	CABANATUAN CITY	15.5048	120.976
563	Tarlac Concepcion	Brgy San Nicola Poblacion Concepcion Tarlac	0922	REGION III (Central Luzon)	TARLAC	CONCEPCION	15.3238	120.631
564	Rosario 2	Rosario 2	2179153	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5908	121.087
565	Mabalacat	Velasquez St., Mabalacat Proper, Pampanga	0943	REGION III (Central Luzon)	PAMPANGA	MABALACAT	15.2229	120.574
567	San Isidro	San Isidro		REGION IV-A (CALABARZON)	LAGUNA	CABUYAO	14.2378	121.134
568	Camiling	Camiling	4914065	REGION III (Central Luzon)	TARLAC	CAMILING	15.6866	120.412
569	Mabolo Bacoor	Mabolo Bacoor, Cavite		REGION IV-A (CALABARZON)	CAVITE	BACOOR	14.4375	120.905
570	Wilson	Wilson cor.,Ortigas San Juan, City	5700258	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF SAN JUAN	14.6006	121.048
572	Herco Center	Herco		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5519	121.017
574	Salawag 2	Paliparan Road Salawag Crossing Dasma Cavite		REGION IV-A (CALABARZON)	CAVITE	DASMARI?AS	14.3534	120.981
575	Halang Calamba	National Hiway Brgy.Halang Calamba Laguna		REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	14.1942	121.165
576	Boni EDSA	EDSA cor.,Boni Ave.Mandaluyong	5345365	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MANDALUYONG	14.5724	121.047
577	Sta Rosa	Tagaytay Road, Sta Rosa Laguna		REGION IV-A (CALABARZON)	LAGUNA	CITY OF SANTA ROSA	14.2498	121.064
578	Malanday	Brgy Malanday McArthur H-Way Valenzuela City	0922	NCR - National Capital Region	NCR, THIRD DISTRICT	CITY OF VALENZUELA	14.4416	121.024
579	Malinta 2	Danding Blg Cecilio J Santos St. Valenzuela City	0933	NCR - National Capital Region	NCR, THIRD DISTRICT	CITY OF VALENZUELA	14.6947	120.97
580	Silver City	Silver City	6503268	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5839	121.075
581	DMG Center	DMG Center, Libertad cor., Calbayog St.,	5843467	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF MANDALUYONG	14.5797	121.046
582	McKinley	Origas Ave. Mckinley, San Juan	7215740	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF SAN JUAN	14.602	121.047
583	Harvard-EDSA	EDSA cor. Harvard St. Makati City		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5589	121.04
585	TRAG	GL 10 The Residences, Arnaiz St., Makati Citry		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5509	121.02
586	Muzon	Muzon	0922	REGION III (Central Luzon)	BULACAN	CITY OF SAN JOSE DEL MONTE	14.802	121.035
587	Marvin Plaza	Marvin PLaza		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5554	121.014
589	Manila Executive Regency	Manila Exceutive Regency		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	MALATE	14.5786	120.982
590	Kingswood	Kingswood		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.5668	121.012
591	Malolos Tikay	McArthur Hi-way, Tikay Malolos Bulacan	8166760	REGION III (Central Luzon)	BULACAN	CITY OF MALOLOS (Capital)	14.8391	120.859
592	Sampol	sampol	0923	REGION III (Central Luzon)	BULACAN	CITY OF SAN JOSE DEL MONTE	14.8574	121.056
593	Farmers Market	Farmers Market	4394889	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6195	121.052
594	Victoria De Manila	G/F Victoria De Manila, Taft Avenue		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	MALATE	14.575	120.989
595	Tiaong	Tiaong		REGION IV-A (CALABARZON)	QUEZON	TIAONG	14.1309	121.436
596	San Pascual Batanggas	San Pascual Batanggas		REGION IV-A (CALABARZON)	BATANGAS	SAN PASCUAL	13.7822	121.031
598	Upper Session (Caltex)	Upper Session Road, cor., DPS Road, Baguio City	6199957	CAR - Cordillera Administrative Region	BENGUET	BAGUIO CITY	16.4053	120.602
599	Burnham	Chanum cor., Otek St., Burnham Park, Baguio City	4424741	CAR - Cordillera Administrative Region	BENGUET	BAGUIO CITY	16.4128	120.593
603	Fortune Square	Fortune Square	4552816	REGION III (Central Luzon)	PAMPANGA	CITY OF SAN FERNANDO (Capital)	15.1006	120.62
604	Dewey Ave.	Lot 2, Blk.18, Dewey Ave., Subic Bay Freeport Zone	2500944	REGION III (Central Luzon)	ZAMBALES	SUBIC	14.8189	120.281
605	Molino 5	Molino Road Brgy Molino III Bacoor Cavite		REGION IV-A (CALABARZON)	CAVITE	BACOOR	14.4423	120.972
606	Diamond Square	Diamond Square	0922	REGION III (Central Luzon)	PAMPANGA	ANGELES CITY	15.1648	120.591
607	The Enclave	The Enclave	6246322	REGION III (Central Luzon)	PAMPANGA	ANGELES CITY	15.1434	120.559
608	Zaragosa	Zaragosa	0932		NUEVA ECIJA	ZARAGOZA	15.4519	120.805
610	Olongapo Market	Olongapo Market	2230001	REGION III (Central Luzon)	ZAMBALES	OLONGAPO CITY	14.8396	120.961
611	San Marcelino	Brgy Central San Marcelino Zambales	0922	REGION III (Central Luzon)	ZAMBALES	SAN MARCELINO	14.9745	120.156
612	Imus Pag-Asa	National Road Cor Alapan St. Pagasa Imus Cavite		REGION IV-A (CALABARZON)	CAVITE	IMUS	14.4408	120.911
613	Baliuag Hi-way	Dona Remedios Hiway,Baliuag Bulacan	0923	REGION III (Central Luzon)	BULACAN	BALIUAG	14.9509	120.884
614	Bansalangin	Bansalanigin	3524617	NCR - National Capital Region	NCR, SECOND DISTRICT	QUEZON CITY	14.6558	121.024
615	San Pedro 5	San Pedro 5		REGION IV-A (CALABARZON)	LAGUNA	SAN PEDRO	14.362	121.057
616	Engineer's Hill	Engineer's Hill	4420742	CAR - Cordillera Administrative Region	BENGUET	BAGUIO CITY	16.4078	120.603
617	Grandview	Grandview	6280216	REGION III (Central Luzon)	PAMPANGA	ANGELES CITY	15.166	120.57
618	Angelo King	Along Arellano Ave., Malate, Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	MALATE	14.5669	120.998
619	Buendia 4	317 Buendia Ave., Pasay City		NCR - National Capital Region	NCR, FOURTH DISTRICT	PASAY CITY	14.5545	120.998
620	FVR	Sapang Palay, San Jose  Del Monte City,	0933	REGION III (Central Luzon)	BULACAN	CITY OF SAN JOSE DEL MONTE	14.8527	121.062
621	Lifehomes	Lifehomes	0932	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.59	121.095
622	Makati Executive Tower 3	Mkti Exec. Tower Gil Puyat Ave Mkti City		NCR - National Capital Region	NCR, FOURTH DISTRICT	CITY OF MAKATI	14.558	121.008
623	Isabelle de Hidalgo	Unit 2&3 Isabelle de Hidalgo Bldg., Quiapo, Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	QUIAPO	14.5983	120.986
624	Tagaytay 4	E.Aguinaldo H-Way Tagaytay City		REGION IV-A (CALABARZON)	CAVITE	TAGAYTAY CITY	14.1223	120.96
625	JP Laurel Malate	G/F JP Laurel Mem Bldg,Ped Gil St.Ermita,Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	ERMITA	14.5734	120.982
626	Bertyaphil 5	Bertaphil 5	0932	REGION III (Central Luzon)	PAMPANGA	CITY OF SAN FERNANDO (Capital)	15.1999	120.542
628	Subic International Hotel	SIH Freeport Zone Subic Bay Olongapo City	0928	REGION III (Central Luzon)	ZAMBALES	SUBIC	14.8238	120.279
629	Pansol Calamba	Purok 1 Pansol Calamba City Laguna		REGION IV-A (CALABARZON)	LAGUNA	CITY OF CALAMBA	14.1817	121.177
630	Mayfair	Unit C Mayfair Tower, U.N Avenue, Ermita, Manila		NCR - National Capital Region	NCR, CITY OF MANILA, FIRST DISTRICT	ERMITA	14.5801	120.981
632	Sixto A.Ave.(Hampton Garden)	Dr Sixto Antonio Ave Maybunga Pasig City	0917	NCR - National Capital Region	NCR, SECOND DISTRICT	CITY OF PASIG	14.5795	121.083
635	Noveleta	Poblacion, Noveleta, Cavite City		REGION IV-A (CALABARZON)	CAVITE	CAVITE CITY	14.4282	120.881
